iter	Passed	Remaining
0	1	129
1	2	109
2	3	105
3	4	98
4	5	98
5	6	102
6	7	100
7	8	98
8	9	95
9	10	93
10	11	90
11	12	90
12	13	88
13	14	87
14	15	87
15	16	85
16	17	84
17	18	83
18	19	82
19	20	80
20	21	80
21	22	78
22	23	77
23	24	76
24	25	75
25	26	74
26	27	74
27	28	74
28	29	73
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	40	61
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	55	42
57	57	41
58	58	40
59	58	39
60	60	38
61	60	37
62	61	36
63	62	35
64	63	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	76	21
78	77	20
79	79	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
